Title	Journal Name	DOI		
Immunization expands HIV-1 V3-glycan specific B-cells in mice and macaques	Nature	10.1038/s41586-019-1250-z		convert
Growth dynamics in naturally progressing chronic lymphocytic leukaemia	Nature	10.1038/s41586-019-1252-x		
Structural basis for ligand recognition at the human MT1 melatonin receptor	Nature	10.1038/s41586-019-1141-3		
Controlling orthogonal ribosome subunit interactions enables evolution of new function	Nature	10.1038/s41586-018-0773-z		
Structure of the Alternative Complex III in a supercomplex with cytochrome oxidase	Nature	10.1038/s41586-018-0061-y		
Identification of unique neoantigen qualities in long term pancreatic cancer survivors.	Nature	10.1038/nature24462		
Balancing selection shapes density-dependent foraging behavior	Nature	10.1038/nature19848		
Real-time, portable genome sequencing for Ebola surveillance	Nature	10.1038/nature16996		
Conserved epigenomic signals in mice and humans reveal immune basis of Alzheimer’s disease	Nature	10.1038/nature14252		
Antifungal drug resistance evokedvia RNAi-dependent epimutations	Nature	10.1038/nature13575		
Coordinated regulation of protein synthesis and degradation by mTORC1	Nature	10.1038/nature13492		
The role of mentorship in protégé performance	Nature	10.1038/nature09040		
Ago HITS-CLIP decodes miRNA-mRNA interaction maps	Nature	10.1038/nature08170		
Predicting HLA class II antigen presentation through integrated deep learning	Nature biotechnology	10.1038/s41587-019-0280-2		
Optimized sgRNA design to maximize activity and minimize off-target effects of CRISPR-Cas9	Nature biotechnology	10.1038/nbt.3437		
Next Generation Gene Synthesis by targeted retrieval of bead-immobilized, sequence verified DNA clones from a high throughput pyrosequencing device	Nature biotechnology	10.1038/nbt.1710		
A blue light receptor that mediates RNA binding and translational regulation	Nature chemical biology	10.1038/s41589-019-0346-y		
Oxidation increases the strength of the methionine-aromatic interaction	Nature chemical biology	10.1038/nchembio.2159		
Dynamic and scalable DNA-based information storage	Nature Communications	10.1038/s41467-020-16797-2		code
An evolutionary path to altered cofactor specificity in a metalloenzyme	Nature Communications	10.1038/s41467-020-16478-0		
Perturbing proteomes at single residue resolution using base editing	Nature Communications	10.1038/s41467-020-15796-7		
Blackjack mutations improve the on-target activities of increased fidelity variants of SpCas9 with 5′G-extended sgRNAs	Nature Communications	10.1038/s41467-020-15021-5		
Major antigenic site B of human influenza H3N2 viruses has an evolving local fitness landscape	Nature Communications	10.1038/s41467-020-15102-5		
The ETFL formulation allows multi-omics integration in thermodynamics-compliant metabolism and expression models	Nature Communications	10.1038/s41467-019-13818-7		
Prophages and satellite prophages are widespread in Streptococcus and may play a role in pneumococcal pathogenesis	Nature Communications	10.1038/s41467-019-12825-y		
CUTseq is a versatile method for preparing multiplexed DNA sequencing libraries from low-input samples	Nature Communications	10.1038/s41467-019-12570-2		
Multi-strategic RNA-seq analysis reveals a high-resolution transcriptional landscape in cotton	Nature Communications	10.1038/s41467-019-12575-x		
Engineering selective competitors for the discrimination of highly conserved protein-protein interaction modules	Nature Communications	10.1038/s41467-019-12528-4		
Multiplexed and high-throughput neuronal fluorescence imaging with diffusible probes	Nature Communications	10.1038/s41467-019-12372-6		
Uncovering the biosynthetic potential of rare metagenomic DNA using co-occurrence network analysis of targeted sequences	Nature Communications	10.1038/s41467-019-11658-z		
A consensus S. cerevisiae metabolic model Yeast8 and its ecosystem for comprehensively probing cellular metabolism	Nature Communications	10.1038/s41467-019-11581-3		
Estimating dispensable content in the human interactome	Nature Communications	10.1038/s41467-019-11180-2		
